0	5
1	17.25
2	25.2222
3	32.5625
4	32.12
5	36.2778
6	37.4694
7	39.5938
8	38.9136
9	40.69
10	42.5041
11	42.2847
12	42.3964
13	43.3827
14	43.0533
15	44.7773
16	44.6782
17	44.5772
18	44.4127
19	45.1125
20	44.6961
21	45.3058
22	45.0284
23	45.5035
24	45.96
25	45.997
26	46.358
27	46.463
28	46.2961
29	46.2033
30	46.3975
31	46.1631
32	46.2764
33	46.2829
34	46.5494
35	46.7384
36	46.9211
37	46.8047
38	46.9928
39	46.8544
40	47.2106
41	47.292
42	47.1682
43	47.1612
44	47.5175
45	47.1914
46	47.5871
47	47.3472
48	47.2766
49	47.3476
50	47.5271
51	47.6442
52	47.4297
53	47.5628
54	47.7147
55	47.639
56	47.5814
57	47.7872
58	47.8006
59	47.7728
60	47.4867
61	47.6605
62	47.6984
63	47.6138
64	47.8485
65	47.7927
66	47.8973
67	47.9187
68	47.8026
69	48.1027
70	47.9754
71	47.9693
72	47.9413
73	47.9604
74	48.0316
75	47.9777
76	48.0354
77	48.0588
78	47.9623
79	48.19
80	48.1815
81	48.1007
82	48.1253
83	48.0765
84	48.1437
85	48.1583
86	48.2246
87	48.1566
88	48.0817
89	48.1733
90	48.1858
91	48.2226
92	48.1864
93	48.2399
94	48.2759
95	48.2253
96	48.2213
97	48.2736
98	48.413
99	48.2049



0	9
1	50.25
2	79.8889
3	90.5625
4	102.24
5	109.139
6	113.612
7	118.297
8	122.469
9	123.04
10	127.256
11	129.299
12	129.189
13	129.827
14	130.924
15	133.086
16	133.647
17	133.29
18	133.964
19	135.852
20	136.145
21	135.808
22	136.607
23	137.771
24	137.307
25	138.643
26	138.77
27	139.18
28	138.206
29	139.08
30	139.769
31	140.035
32	139.72
33	140.519
34	140.42
35	141.015
36	140.334
37	141.177
38	140.892
39	140.967
40	141.386
41	140.96
42	141.64
43	141.456
44	141.789
45	142.305
46	141.69
47	141.786
48	142.234
49	141.918
50	142.69
51	142.457
52	142.636
53	142.617
54	143.046
55	142.912
56	143.09
57	142.67
58	142.922
59	142.885
60	143.004
61	143.148
62	143.211
63	143.241
64	143.495
65	143.548
66	143.616
67	143.357
68	143.643
69	143.608
70	143.824
71	143.783
72	143.646
73	143.773
74	143.962
75	143.689
76	143.744
77	143.941
78	144.221
79	143.972
80	143.788
81	144.135
82	144.416
83	144.265
84	144.208
85	144.102
86	143.92
87	144.429
88	144.408
89	144.706
90	144.645
91	144.401
92	144.648
93	144.289
94	144.439
95	144.596
96	144.418
97	144.235
98	144.71
99	144.488




0	42
1	140.5
2	211.444
3	241.188
4	260.48
5	285.361
6	296.531
7	303.781
8	310.432
9	318.07
10	320.223
11	324.729
12	326.669
13	330.811
14	332.24
15	337.742
16	338.066
17	338.457
18	340.831
19	343.14
20	345.834
21	346.021
22	345.474
23	349.366
24	348.181
25	349.643
26	350.652
27	351.33
28	350.867
29	353.562
30	353.588
31	353.132
32	355.397
33	354.789
34	355.574
35	356.673
36	355.803
37	356.38
38	356.632
39	356.102
40	358.229
41	357.417
42	358.301
43	358.79
44	358.469
45	359.76
46	359.158
47	359.662
48	360.272
49	360.338
50	360.658
51	359.893
52	360.571
53	360.601
54	360.99
55	361.207
56	360.664
57	361.05
58	361.205
59	362.135
60	361.869
61	362.263
62	361.79
63	362.231
64	362.443
65	362.921
66	362.425
67	362.521
68	362.619
69	362.888
70	363.563
71	363.557
72	362.861
73	363.134
74	363.694
75	363.729
76	363.659
77	363.989
78	363.943
79	363.558
80	363.879
81	364.375
82	364.696
83	364.36
84	364.422
85	364.042
86	364.361
87	364.367
88	364.361
89	364.612
90	364.494
91	364.324
92	365.004
93	364.763
94	364.647
95	364.857
96	364.816
97	364.803
98	365.096
99	364.97




0	111
1	346
2	486.556
3	558.688
4	607.64
5	635.778
6	663.347
7	691.734
8	703.296
9	708.78
10	721.934
11	733.583
12	737.189
13	740.347
14	753.64
15	756.09
16	755.363
17	763.765
18	763.504
19	770.447
20	771.497
21	772.911
22	777.019
23	780.726
24	783.507
25	780.947
26	783.368
27	785.157
28	787.114
29	790.318
30	789.645
31	791.521
32	791.28
33	794.645
34	794.669
35	794.992
36	794.257
37	796.176
38	796.84
39	799.284
40	798.018
41	798.946
42	798.667
43	798.725
44	801.151
45	800.787
46	803.255
47	803.238
48	804.175
49	803.926
50	803.622
51	803.197
52	804.091
53	803.652
54	805.44
55	805.897
56	805.222
57	805.758
58	806.78
59	806.998
60	806.263
61	808.166
62	807.29
63	808.259
64	808.133
65	808.923
66	809.479
67	808.891
68	808.96
69	809.799
70	810.361
71	809.865
72	811.484
73	809.851
74	809.592
75	810.327
76	811.977
77	810.811
78	812.433
79	811.105
80	812.083
81	812.546
82	812.455
83	813.27
84	812.48
85	812.232
86	812.241
87	813.042
88	813.213
89	813.035
90	812.577
91	813.112
92	813.804
93	813.361
94	812.986
95	813.808
96	813.814
97	813.066
98	813.917
99	813.497




0	5
1	17.25
2	25.2222
3	32.5625
4	32.12
5	36.2778
6	37.4694
7	39.5938
8	38.9136
9	40.69
10	42.5041
11	42.2847
12	42.3964
13	43.3827
14	43.0533
15	44.7773
16	44.6782
17	44.5772
18	44.4127
19	45.1125
20	44.6961
21	45.3058
22	45.0284
23	45.5035
24	45.96
25	45.997
26	46.358
27	46.463
28	46.2961
29	46.2033
30	46.3975
31	46.1631
32	46.2764
33	46.2829
34	46.5494
35	46.7384
36	46.9211
37	46.8047
38	46.9928
39	46.8544
40	47.2106
41	47.292
42	47.1682
43	47.1612
44	47.5175
