0	0
1	0
2	0
3	15.875
4	53.76
5	93.0278
6	132.327
7	162.422
8	189.58
9	209.35
10	229.562
11	244.687
12	259.503
13	266.913
14	279.178
15	290.348
16	295.443
17	303.333
18	308.396
19	314.595
20	318.048
21	321.504
22	324.643
23	327.8
24	329.926
25	335.062
26	336.421
27	338.615
28	341.924
29	342.752
30	343.78
31	347.033
32	347.379
33	350.148
34	349.281
35	350.614
36	352.379
37	352.678
38	353.804
39	354.742
40	355.064
41	357.061
42	355.408
43	355.796
44	356.552
45	358.114
46	358.099
47	358.676
48	359.275
49	358.912
50	359.804
51	358.741
52	359.007
53	360.664
54	360.521
55	360.726
56	361.241
57	360.928
58	361.591
59	361.28
60	361.946
61	362.399
62	361.448
63	362.089
64	362.842
65	362.496
66	363.517
67	362.176
68	362.723
69	362.423
70	363.006
71	363.125
72	362.683
73	362.856
74	363.569
75	363.778
76	364.583
77	363.566
78	364.054
79	363.993
80	364.746
81	364.735
82	364.704
83	365.145
84	365.551
85	365.167
86	365.413
87	365.115
88	365.347
89	366.146
90	366.101
91	365.597
92	365.804
93	366.492
94	366.465
95	366.407
96	366.323
97	366.762
98	365.531
99	366.311
