-30	-30	-30	
-20	-30	-30	
-10	-30	-30	
-7.10543e-15	-30	-30	
10	-30	-30	
20	-30	-30	
30	-30	-30	
-30	-20	-30	
-20	-20	-30	
-10	-20	-30	
-7.10543e-15	-20	-30	
10	-20	-30	
20	-20	-30	
30	-20	-30	
-30	-10	-30	
-20	-10	-30	
-10	-10	-30	
-7.10543e-15	-10	-30	
10	-10	-30	
20	-10	-30	
30	-10	-30	
-30	-7.10543e-15	-30	
-20	-7.10543e-15	-30	
-10	-7.10543e-15	-30	
-7.10543e-15	-7.10543e-15	-30	
10	-7.10543e-15	-30	
20	-7.10543e-15	-30	
30	-7.10543e-15	-30	
-30	10	-30	
-20	10	-30	
-10	10	-30	
-7.10543e-15	10	-30	
10	10	-30	
20	10	-30	
30	10	-30	
-30	20	-30	
-20	20	-30	
-10	20	-30	
-7.10543e-15	20	-30	
10	20	-30	
20	20	-30	
30	20	-30	
-30	30	-30	
-20	30	-30	
-10	30	-30	
-7.10543e-15	30	-30	
10	30	-30	
20	30	-30	
30	30	-30	
-30	-30	-20	
-20	-30	-20	
-10	-30	-20	
-7.10543e-15	-30	-20	
10	-30	-20	
20	-30	-20	
30	-30	-20	
-30	-20	-20	
-20	-20	-20	
-10	-20	-20	
-7.10543e-15	-20	-20	
10	-20	-20	
20	-20	-20	
30	-20	-20	
-30	-10	-20	
-20	-10	-20	
-10	-10	-20	
-7.10543e-15	-10	-20	
10	-10	-20	
20	-10	-20	
30	-10	-20	
-30	-7.10543e-15	-20	
-20	-7.10543e-15	-20	
-10	-7.10543e-15	-20	
-7.10543e-15	-7.10543e-15	-20	
10	-7.10543e-15	-20	
20	-7.10543e-15	-20	
30	-7.10543e-15	-20	
-30	10	-20	
-20	10	-20	
-10	10	-20	
-7.10543e-15	10	-20	
10	10	-20	
20	10	-20	
30	10	-20	
-30	20	-20	
-20	20	-20	
-10	20	-20	
-7.10543e-15	20	-20	
10	20	-20	
20	20	-20	
30	20	-20	
-30	30	-20	
-20	30	-20	
-10	30	-20	
-7.10543e-15	30	-20	
10	30	-20	
20	30	-20	
30	30	-20	
-30	-30	-10	
-20	-30	-10	
-10	-30	-10	
-7.10543e-15	-30	-10	
10	-30	-10	
20	-30	-10	
30	-30	-10	
-30	-20	-10	
-20	-20	-10	
-10	-20	-10	
-7.10543e-15	-20	-10	
10	-20	-10	
20	-20	-10	
30	-20	-10	
-30	-10	-10	
-20	-10	-10	
-10	-10	-10	
-7.10543e-15	-10	-10	
10	-10	-10	
20	-10	-10	
30	-10	-10	
-30	-7.10543e-15	-10	
-20	-7.10543e-15	-10	
-10	-7.10543e-15	-10	
-7.10543e-15	-7.10543e-15	-10	
10	-7.10543e-15	-10	
20	-7.10543e-15	-10	
30	-7.10543e-15	-10	
-30	10	-10	
-20	10	-10	
-10	10	-10	
-7.10543e-15	10	-10	
10	10	-10	
20	10	-10	
30	10	-10	
-30	20	-10	
-20	20	-10	
-10	20	-10	
-7.10543e-15	20	-10	
10	20	-10	
20	20	-10	
30	20	-10	
-30	30	-10	
-20	30	-10	
-10	30	-10	
-7.10543e-15	30	-10	
10	30	-10	
20	30	-10	
30	30	-10	
-30	-30	-7.10543e-15	
-20	-30	-7.10543e-15	
-10	-30	-7.10543e-15	
-7.10543e-15	-30	-7.10543e-15	
10	-30	-7.10543e-15	
20	-30	-7.10543e-15	
30	-30	-7.10543e-15	
-30	-20	-7.10543e-15	
-20	-20	-7.10543e-15	
-10	-20	-7.10543e-15	
-7.10543e-15	-20	-7.10543e-15	
10	-20	-7.10543e-15	
20	-20	-7.10543e-15	
30	-20	-7.10543e-15	
-30	-10	-7.10543e-15	
-20	-10	-7.10543e-15	
-10	-10	-7.10543e-15	
-7.10543e-15	-10	-7.10543e-15	
10	-10	-7.10543e-15	
20	-10	-7.10543e-15	
30	-10	-7.10543e-15	
-30	-7.10543e-15	-7.10543e-15	
-20	-7.10543e-15	-7.10543e-15	
-10	-7.10543e-15	-7.10543e-15	
-7.10543e-15	-7.10543e-15	-7.10543e-15	
10	-7.10543e-15	-7.10543e-15	
20	-7.10543e-15	-7.10543e-15	
30	-7.10543e-15	-7.10543e-15	
-30	10	-7.10543e-15	
-20	10	-7.10543e-15	
-10	10	-7.10543e-15	
-7.10543e-15	10	-7.10543e-15	
10	10	-7.10543e-15	
20	10	-7.10543e-15	
30	10	-7.10543e-15	
-30	20	-7.10543e-15	
-20	20	-7.10543e-15	
-10	20	-7.10543e-15	
-7.10543e-15	20	-7.10543e-15	
10	20	-7.10543e-15	
20	20	-7.10543e-15	
30	20	-7.10543e-15	
-30	30	-7.10543e-15	
-20	30	-7.10543e-15	
-10	30	-7.10543e-15	
-7.10543e-15	30	-7.10543e-15	
10	30	-7.10543e-15	
20	30	-7.10543e-15	
30	30	-7.10543e-15	
-30	-30	10	
-20	-30	10	
-10	-30	10	
-7.10543e-15	-30	10	
10	-30	10	
20	-30	10	
30	-30	10	
-30	-20	10	
-20	-20	10	
-10	-20	10	
-7.10543e-15	-20	10	
10	-20	10	
20	-20	10	
30	-20	10	
-30	-10	10	
-20	-10	10	
-10	-10	10	
-7.10543e-15	-10	10	
10	-10	10	
20	-10	10	
30	-10	10	
-30	-7.10543e-15	10	
-20	-7.10543e-15	10	
-10	-7.10543e-15	10	
-7.10543e-15	-7.10543e-15	10	
10	-7.10543e-15	10	
20	-7.10543e-15	10	
30	-7.10543e-15	10	
-30	10	10	
-20	10	10	
-10	10	10	
-7.10543e-15	10	10	
10	10	10	
20	10	10	
30	10	10	
-30	20	10	
-20	20	10	
-10	20	10	
-7.10543e-15	20	10	
10	20	10	
20	20	10	
30	20	10	
-30	30	10	
-20	30	10	
-10	30	10	
-7.10543e-15	30	10	
10	30	10	
20	30	10	
30	30	10	
-30	-30	20	
-20	-30	20	
-10	-30	20	
-7.10543e-15	-30	20	
10	-30	20	
20	-30	20	
30	-30	20	
-30	-20	20	
-20	-20	20	
-10	-20	20	
-7.10543e-15	-20	20	
10	-20	20	
20	-20	20	
30	-20	20	
-30	-10	20	
-20	-10	20	
-10	-10	20	
-7.10543e-15	-10	20	
10	-10	20	
20	-10	20	
30	-10	20	
-30	-7.10543e-15	20	
-20	-7.10543e-15	20	
-10	-7.10543e-15	20	
-7.10543e-15	-7.10543e-15	20	
10	-7.10543e-15	20	
20	-7.10543e-15	20	
30	-7.10543e-15	20	
-30	10	20	
-20	10	20	
-10	10	20	
-7.10543e-15	10	20	
10	10	20	
20	10	20	
30	10	20	
-30	20	20	
-20	20	20	
-10	20	20	
-7.10543e-15	20	20	
10	20	20	
20	20	20	
30	20	20	
-30	30	20	
-20	30	20	
-10	30	20	
-7.10543e-15	30	20	
10	30	20	
20	30	20	
30	30	20	
-30	-30	30	
-20	-30	30	
-10	-30	30	
-7.10543e-15	-30	30	
10	-30	30	
20	-30	30	
30	-30	30	
-30	-20	30	
-20	-20	30	
-10	-20	30	
-7.10543e-15	-20	30	
10	-20	30	
20	-20	30	
30	-20	30	
-30	-10	30	
-20	-10	30	
-10	-10	30	
-7.10543e-15	-10	30	
10	-10	30	
20	-10	30	
30	-10	30	
-30	-7.10543e-15	30	
-20	-7.10543e-15	30	
-10	-7.10543e-15	30	
-7.10543e-15	-7.10543e-15	30	
10	-7.10543e-15	30	
20	-7.10543e-15	30	
30	-7.10543e-15	30	
-30	10	30	
-20	10	30	
-10	10	30	
-7.10543e-15	10	30	
10	10	30	
20	10	30	
30	10	30	
-30	20	30	
-20	20	30	
-10	20	30	
-7.10543e-15	20	30	
10	20	30	
20	20	30	
30	20	30	
-30	30	30	
-20	30	30	
-10	30	30	
-7.10543e-15	30	30	
10	30	30	
20	30	30	
30	30	30	
