0.01	0.358367	0.0056684
0.02	0.46826	0.00740663
0.03	0.549588	0.008693
0.04	0.666553	0.0105431
0.05	0.79705	0.0126072
0.06	0.936156	0.0148075
0.07	1.06244	0.016805
0.08	1.23179	0.0194837
0.09	1.409	0.0222866
0.1	1.58991	0.0251481
0.11	1.81267	0.0286715
0.12	2.01856	0.0319282
0.13	2.23977	0.0354272
0.14	2.48631	0.0393268
0.15	2.76782	0.0437795
0.16	3.03879	0.0480656
0.17	3.33535	0.0527563
0.18	3.64781	0.0576986
0.19	3.97685	0.062903
0.2	4.31741	0.0682898
0.21	4.70495	0.0744198
0.22	5.09411	0.0805751
0.23	5.47667	0.0866262
0.24	5.9133	0.0935325
0.25	6.36039	0.100604
0.26	6.83963	0.108185
0.27	7.35091	0.116272
0.28	7.85355	0.124222
0.29	8.33577	0.13185
0.3	8.93488	0.141326
0.31	9.54763	0.151018
0.32	10.1527	0.160588
0.33	10.8057	0.170917
0.34	11.5215	0.182239
0.35	12.2309	0.19346
0.36	13.0055	0.205712
0.37	13.8871	0.219656
0.38	14.6409	0.231581
0.39	15.5555	0.246046
0.4	16.4793	0.260659
0.41	17.3996	0.275215
0.42	18.4077	0.29116
0.43	19.584	0.309766
0.44	20.6916	0.327286
0.45	22.0047	0.348056
0.46	23.2034	0.367016
0.47	24.5666	0.388578
0.48	25.9596	0.410611
0.49	27.4026	0.433436
0.5	29.1017	0.460311
0.51	30.8299	0.487646
0.52	32.4908	0.513917
0.53	34.3078	0.542657
0.54	36.3069	0.574278
0.55	38.6068	0.610656
0.56	40.8597	0.64629
0.57	43.2646	0.68433
0.58	45.9025	0.726055
0.59	48.2879	0.763785
0.6	51.3421	0.812094
0.61	54.7109	0.865381
0.62	57.9932	0.917297
0.63	62.1716	0.983388
0.64	65.016	1.02838
0.65	69.8512	1.10486
0.66	74.6791	1.18122
0.67	78.9728	1.24914
0.68	83.5218	1.32109
0.69	90.5155	1.43171
0.7	95.0926	1.50411
0.71	102.437	1.62028
0.72	109.825	1.73714
0.73	117.598	1.86009
0.74	126.062	1.99396
0.75	136.559	2.16001
0.76	147.805	2.33788
0.77	156.196	2.4706
0.78	169.059	2.67406
0.79	184.407	2.91683
0.8	197.409	3.12248
0.81	213.636	3.37915
0.82	232.465	3.67697
0.83	255.555	4.0422
0.84	291.294	4.60749
0.85	328.656	5.19846
0.86	360.317	5.69924
0.87	387.289	6.12588
0.88	426.806	6.75093
0.89	496.578	7.85453
0.9	558.286	8.83059
0.91	673.781	10.6574
0.92	848.175	13.4159
0.93	1118.44	17.6907
0.94	1564.59	24.7476
0.95	2195.57	34.7281
0.96	3500.8	55.3733
0.97	6292.55	99.5313
0.98	14456.9	228.669
0.99	58824.8	930.45
